OM6_P3_5.1,OM6_P3_5_1,6.0,3,5.1,Training Aerodromes (including hazards),"5.1 Training Aerodromes (including hazards)

In accordance with NCO.OP.100, the pilot-in-command shall only use aerodromes and operating sites that are adequate for the type of aircraft and operation concerned.

The applicable noise abatement procedures can be found in the relevant AIP document for training flights in Europe or the FAA Chart Supplement for training flights in the USA.

Touch and Go / Circuit Training
EBAW – Antwerpen (Stop and Go due to noise restrictions)
Hazards:
• Bird hazard (wood pigeons and herons)
• Close presence of city
• Take-off RWY 29 (limited space available to perform a forced landing)
• Approach RWY 11 (mechanical turbulence during windy conditions)
• Approach RWY 29 (windshear short final – fort)

EBST – Sint-Truiden (Touch and Go)
Hazards:
• Bird hazard (buzzards)
• Drones

EBKH – Keiheuvel (Grass runway)
Hazards:
• Glider flying / winch up to 2.000 ft AAL

EBHN – Hoevenen (Grass runway)
Hazards:
• High tension lines in the close vicinity
• Paradrop activity

KTRM – Thermal (Touch and Go)
Hazards:
• High volume of business jet traffic during wintertime
• High ambient temperature during summertime

KPSP – Palm Springs (Touch and Go)
Hazards:
• Terrain
• High volume of business jet traffic during wintertime
• High ambient temperature during summertime
• Mechanical turbulence during high wind conditions

KUDD – Bermuda Dunes (Touch and Go)
Hazards:
• High volume of business jet traffic during wintertime
• High ambient temperature during summertime
• Mechanical turbulence during high wind conditions

L08 – Borrego Valley (Touch and Go)
Hazards:
• Terrain
• High ambient temperature during summertime
• Mechanical turbulence during high wind conditions

KBWC – Brawley (Touch and Go)
Hazards:
• High ambient temperature during summertime
• High volume of crop-dusting activity
• Bird hazard (Canadian geese)



Night Touch and Go / Circuit Training
EBAW – Antwerpen (Stop and Go due to noise restrictions)

EBOS – Oostende (Touch and Go)
Hazards:
• Frequent windy conditions (verify limitations)
• Risk of sudden advection fog

EBLG – Luik (Touch and Go)
Hazards:
• Nil

KTRM – Thermal (Touch and Go)

KPSP – Palm Springs (Touch and Go)

KUDD – Bermuda Dunes (Touch and Go)

L08 – Borrego Valley (Touch and Go)

KBWC – Brawley (Touch and Go)



SID / STAR / Precision / Non-Precision / Circling
EBAW – Antwerpen
EBOS – Oostende
EBLG – Luik
EBCI – Charleroi
Hazards:
• Airspace congestion
• Close presence of city

EBKT – Kortrijk
Hazards:
• Taxiway and apron condition (prop-strike risk)
• No ATC (AFIS only)

KTRM – Thermal
KPSP – Palm Springs
KUDD – Bermuda Dunes
L08 – Borrego Valley
KBWC – Brawley

KTNP – Twentynine Palms
Hazards:
• Military helicopter activity
• High ambient temperature during summertime
• Frequent windy conditions (verify limitations)

KBLH – Blythe
Hazards:
• Paradrop
• High ambient temperature during summertime

KHII – Lake Havasu
Hazards:
• Terrain
• High ambient temperature during summertime
• Frequent windy conditions (verify limitations)

KEED – Needles
Hazards:
• Terrain
• High ambient temperature during summertime
• Frequent windy conditions (verify limitations)

KIFP – Laughlin Bullhead
Hazards:
• Terrain
• High ambient temperature during summertime
• Frequent windy conditions (verify limitations)

KHND – Las Vegas Henderson
Hazards:
• High volume of commercial traffic
• High ambient temperature during summertime
• Frequent windy conditions (verify limitations)
• Terrain

KNYL – Yuma

KSDM – Brown
Hazards:
• Terrain
• Paradrop

KMYF – Montgomery Field
Hazards:
• Terrain
• Risk of fog during May and June
• Frequent windy conditions (verify limitations)
• High volume of traffic

KSEE – El Cajon
Hazards:
• Terrain
• Risk of fog during May and June
• Frequent windy conditions (verify limitations)
• High volume of traffic

KNKX – Ramona
Hazards:
• Terrain
• Risk of fog during May and June
• Frequent windy conditions (verify limitations)

KCRQ – Carlsbad
Hazards:
• Terrain
• Risk of fog during May and June
• Frequent windy conditions (verify limitations)

KOKB – Oceanside
Hazards:
• Paradrop
• Terrain
• Short runway
• Risk of fog during May and June
• Frequent windy conditions (verify limitations)

KSNA – John Wayne
Hazards:
• Terrain
• High volume of commercial traffic
• Wake turbulence
• Risk of fog during May and June
• Frequent windy conditions (verify limitations)

KLGB – Long Beach
Hazards:
• High volume of commercial traffic
• Wake turbulence
• Risk of fog during May and June
• Frequent windy conditions (verify limitations)

KTOA – Torrance
Hazards:
• High volume of helicopter traffic
• Risk of fog during May and June
• Frequent windy conditions (verify limitations)

KVNY – Van Nuys
Hazards:
• High volume of business jet traffic
• Risk of fog during May and June
• Frequent windy conditions (verify limitations)

KBUR – Burbank
Hazards:
• High volume of commercial traffic
• Wake turbulence
• Rising terrain

KONT – Ontario
Hazards:
• High volume of commercial traffic
• Wake turbulence

KCNO – Chino
KRAL – Riverside

KAJO – Corona
Hazards:
• Terrain
• Mechanical turbulence during high wind conditions

KSBD – San Bernardino
Hazards:
• Terrain

KAPV – Apple Valley
Hazards:
• High density altitude
• Terrain
• Drones
• Mechanical turbulence during high wind conditions

KVCV – Victorville
Hazards:
• High density altitude
• Terrain
• Drones
• Mechanical turbulence during high wind conditions",OM_REV_6.0_CANONICAL_PART_3.txt,856e57396eda260daeae7c2740ae11655eb7aee80e6619a328cc980ac52cab55
OM6_P1_8.1.1,OM6_P1_8_1_1,6.0,1,8.1.1,Pilot-in-command responsibilities and authority (Ref. NCO.GEN.105),"8.1.1 Pilot-in-command responsibilities and authority (Ref. NCO.GEN.105)

the pilot-in-command shall be responsible for:

The safety of all passengers and cargo on board, as soon as he arrives on board, until he leaves the aircraft at he end of the flight;
The operation and safety of the aircraft: for airplanes, from the moment it is first ready to move for the purpose of flight until the moment it comes to rest at the end of the flight and the engine(s) used as primary propulsion unit(s) is/are shut down;
The initiation, continuation, termination or diversion of a flight in the interest of safety;
Ensuring that all operational procedures and checklists are complied with. The pilot-in-command should use the latest checklists provided by the manufacturer. If checks conducted prior to take-off are suspended at any point, the pilot-in-command should re-start them from a safe point prior to the interruption;

Only commencing a flight if he/she is satisfied that the following operational limitations are complied with:

the aircraft is airworthy;
the aircraft is duly registered;
instruments and equipment required for the execution of that flight are installed in the aircraft and are operative, unless operation with inoperative equipment is permitted by the minimum equipment list (MEL) or equivalent document, if applicable, as provided for in NCO.IDE.A.105, NCO.IDE.H.105.
the mass of the aircraft and the centre of gravity location are such that the flight can be conducted within limits prescribed in the airworthiness documentation;
all equipment, baggage and cargo are properly loaded and secured and an emergency evacuation remains possible;
the aircraft operating limitations as specified in the aircraft flight manual (AFM) will not be exceeded at any time during the flight;
any navigational database required for PBN is suitable and current.

Not commencing a flight if he is incapacitated from performing duties by any cause such as injury, sickness, fatigue or the effects of any psychoactive substance;

Not continuing a flight beyond the nearest weather-permissible aerodrome or operating site when his/her capacity to perform duties is significantly reduced from causes such as fatigue, sickness or lack of oxygen;

Deciding on acceptance of the aircraft with unserviceable equipment in accordance with the configuration deviation list (CDL) or minimum equipment list (MEL), as applicable; and

Recording utilization data and all known or suspected defects in the aircraft at the termination of the flight, or series of flights, in the aircraft Trouble Report.

The pilot-in-command shall ensure that during critical phases of flight or whenever deemed necessary in the interest of safety, all crew members are seated at their assigned stations and do not perform any activities other than those required for the safe operation of the aircraft.

The pilot-in-command shall have the authority to refuse carriage of or disembark any person (student), baggage or cargo that may represent a potential hazard to the safety of the aircraft or its occupants.

The pilot-in-command shall, as soon as possible, report to the appropriate air traffic services (ATS) unit any hazardous weather or flight conditions encountered that are likely to affect the safety of other aircraft.

These reports should include any detail which may be pertinent to the safety of other aircraft.

Such reports should be made whenever any of the following conditions are encountered or observed:

severe turbulence;
severe icing;
severe mountain wave;
thunderstorms, with or without hail, that are obscured, embedded, widespread or in squall lines;
heavy dust storm or heavy sandstorm;
volcanic ash cloud; and
unusual and/or increasing volcanic activity or a volcanic eruption.

When other meteorological conditions not listed above, e.g. wind shear, are encountered that, in the opinion of the pilot-in-command, may affect the safety or the efficiency of other aircraft operations, the pilot-in-command should advise the appropriate air traffic services (ATS) unit as soon as practicable.

The pilot-in-command shall, in an emergency situation that requires immediate decision and action, take any action he considers necessary under the circumstances in accordance with 7.d of Annex IV to Regulation (EC) No 216/2008. In such cases he may deviate from rules, operational procedures and methods in the interest of safety. If required by the State in which the incident occurs, the pilot-in-command should submit a report on any such violation to the appropriate authority of such State; in that event, the pilot-in-command should also submit a copy of it to the competent authority. Such reports should be submitted as soon as possible and normally within 10 days.

During flight, the pilot-in-command shall:

Keep his safety belt fastened while at his/her station; and
Remain at the controls of the aircraft at all times except if another pilot is taking the controls.

The pilot-in-command shall submit a report of an act of unlawful interference without delay to the competent authority and shall inform the designated local authority.

The pilot-in-command shall notify the nearest appropriate authority by the quickest available means of any accident involving the aircraft that results in serious injury or death of any person or substantial damage to the aircraft or property.",OM_REV_6.0_CANONICAL_PART_1.txt,b11bb442a3a8b32b803d7a1e4ebd2b165455ef4024082cb394798b31b006340e
OM6_P3_2.7.1,OM6_P3_2_7_1,6.0,3,2.7.1,Airplanes,"2.7.1 Airplanes
In accordance with NCO.OP.125, the PIC shall only commence a flight if the airplane carries sufficient fuel and oil for the following:

VFR Flights (NCO.OP.125 (a)(1))

By day, taking-off and landing at the same aerodrome/landing site and always remaining in sight of that aerodrome/landing site:
to fly the intended route and thereafter for at least 10 minutes at normal cruising altitude;

By day:
to fly to the aerodrome of intended landing and thereafter to fly for at least 30 minutes at normal cruising altitude; or

By night:
to fly to the aerodrome of intended landing and thereafter to fly for at least 45 minutes at normal cruising altitude;

Note: It is EuroPilot Center’s Policy for all VFR flights to have at least 45 minutes final reserve on board.



IFR Flights (NCO.OP.125 (a)(2))

When no destination alternate is required:
to fly to the aerodrome of intended landing and thereafter to fly for at least 45 minutes at normal cruising altitude; or

When a destination alternate is required:
to fly to the aerodrome of intended landing, to an alternate aerodrome and thereafter to fly for at least 45 minutes at normal cruising altitude.



Sample Fuel Calculation C172SP & Minimum Oil Requirements
FUEL

AMT USG | POH REFERENCE
START-UP/TAXI: | 1.4 USG | POH Chapter 5 - Page 19
Fuel for Climb from SL to 2.000 ft - ISA | 0,8 USG | POH Chapter 5 - Page 19
Fuel For 1 hour cruise @ 2.000 ft - ISA - 57% PWR | 8,1 USG | POH Chapter 5 - Page 20 - 21

TRIP FUEL: | 8.9 USG

Alternate Fuel (IFR Destination Alternate): | 6,0 USG

Final Reserve (45’): | 6,1 USG

Contingency (5%/TRIP): | 0,5 USG

MIN REQUIRED: | 22,9 USG

Actual Fuel On Board: | 30,0 USG

EXTRA FUEL: | 7,1 USG

TAKE OFF IS NOT ALLOWED WHEN A LOW FUEL L/R WARNING IS PRESENT.
(meaning less than 5 USG in any tank detected)

Note: Training Flights in VMC are not allowed with less than 15 USG on board.
Note: Training Flights in IMC are not allowed with less than 25 USG on board.
Note: Fuel consumption values in the POH performance tables assume Recommended Lean Mixture.

MIN OIL REQUIREMENTS C172SP
The engine should not be operated on less than five quarts of oil. For extended flight, fill to eight quarts (dipstick indication only).



Sample Fuel Calculation DA42 & Minimum Oil Requirements
FUEL

AMT USG | POH REFERENCE
START-UP/TAXI: | 2,0 USG | N/A
Fuel for Climb from SL to 2.000 ft - ISA | 1,2 USG | N/A
Fuel For 1 hour cruise @ 2.000 ft - ISA - 60% PWR | 8,8 USG | POH Chapter 5 - Ch 5.3.2

TRIP FUEL: | 10 USG

Alternate Fuel (IFR Destination Alternate): | 8,8 USG | POH Chapter 5 - Ch 5.3.2

Final Reserve (45’): | 6,6 USG

Contingency (5%/TRIP): | 0,4 USG

MIN REQUIRED: | 27,8 USG

Actual Fuel On Board: | 30,0 USG

EXTRA FUEL: | 2,2 USG

TAKE OFF IS NOT ALLOWED WHEN A LOW FUEL L/R WARNING IS PRESENT.
(meaning less than 4 +/- 1 USG in any tank detected)

Note: Training Flights in VMC are not allowed with less than 20 USG on board.
Note: Training Flights in IMC are not allowed with less than 30 USG on board.

MINIMUM OIL REQUIREMENTS DA42
The engines should not be operated on less than 4.8 quarts of oil.
Also the gearbox oil level should be checked prior to each flight as well as the Coolant liquid level.",OM_REV_6.0_CANONICAL_PART_3.txt,c86ba8c5ea0566f87f45b946d200c08db29e650c09aef82296ed9c4d1ec3bd60
OM6_P1_2.2.7,OM6_P1_2_2_7,6.0,1,2.2.7,Training Staff,"2.2.7 Training Staff

Flight Instructors
The Flight Instructor is the person appointed by the Head of Training. He/She holds the licenses and level of experience according to FCL.900 – Instructor Certificates.

Before the Flight Instructor commences his performances for EuroPilot Center, he/she has successfully demonstrated his flying, instructional and pedagogical skills to the Head of Training or Chief Flight Instructor.

His/Her responsibilities include (non-limitative list):

Complying with the applicable regulations.
Applying the EuroPilot Center Operations Manual and Training Manual.
Ensuring his instruction skills and knowledge remain up to date (by attending instructor seminars, refresher courses etc.).
Maintaining the validity of his licenses, medical, type or class ratings.
Ensuring the performance of sufficient briefing and debriefing.
Verifying all required documents are on board and valid before departing on a flight.
Verifying that the preflight preparations have been carried out correctly.
Verifying that a correct and sufficient amount of fuel, oil (or other liquids) are on board.
Ensuring the aircraft/synthetic journey log is correctly filled out immediately after each flight.
Ensuring all obligations and requirements are met before approving solo flights.
Ensuring the student’s training file is filled out after each flight.
Ensuring the student’s logbook is filled out after each flight.
Respecting the planning and timeframe.
Alerting any technical deficiency of the aircraft or synthetic training device.
Reporting any occurrence, incident or accident immediately to the Chief Flight Instructor.
Ensuring the aircraft / synthetic training device is kept clean.
Ensuring the aircraft is parked safely at all times.
Ensuring the premises are kept clean and are locked when departing.

Theoretical Knowledge Instructors
The Theoretical Knowledge Instructor is the person appointed by the Head of Training. Before the Theoretical Knowledge Instructor commences his/her performances for EuroPilot Center, he/she has successfully demonstrated his/her instructional and pedagogical skills to the Head of Training or Chief Theoretical Knowledge Instructor by means of a formal interview and a test lecture based on the material developed for the respective subject(s).

His/Her responsibilities include (non-limitative list):

Complying with the applicable regulations.
Applying the EuroPilot Center Operations Manual and Training Manual.
Ensuring his instruction skills and knowledge remain up to date (by attending instructor seminars, refresher courses etc.).
Ensuring the student’s training file is filled out after each theory session.
Ensuring the appropriate attendance sheets are filled out and signed after each theory session.
Respecting the planning and timeframe.
Reporting any occurrence immediately to the Chief Theoretical Knowledge Instructor.
Ensuring the premises are kept clean and are locked when departing.
Reporting any deficiency relating to CBT or classroom equipment.",OM_REV_6.0_CANONICAL_PART_1.txt,dadf540c940539382e4fc01bbc33ef795e8d978ffecb290049e6882f4560b595
OM6_P2_4.2.1,OM6_P2_4_2_1,6.0,2,4.2.1,Cockpit layout,"4.2.1 Cockpit layout
	1.	Electric Master Switch
	2.	Avionics Master Switch
	3.	Engine Master Switches
	4.	Start Switch
	5.	Pitot / Stall Warning Heat Switch
	6.	Alternator Switches
	7.	ECU Test Buttons
	8.	ECU Swap Switches
	9.	Rotary buttons for instrument lighting and flood light
	10.	Light Switches
	11.	Emergency Switch
	12.	Flap Selector Switch
	13.	Landing Gear Switch
	14.	Alternate Static Valve
	15.	Microphone Socket
	16.	Ventilation Nozzles
	17.	Circuit Breakers
	18.	Backup Airspeed Indicator
	19.	Backup Artificial Horizon
	20.	Backup Altimeter
	21.	Emergency Compass
	22.	ELT Control Unit
	23.	Primary Flight Display (PFD)
	24.	Audio Amplifier / Intercom / Marker Beacon Receiver
	25.	Multi-Function Display (MFD)
	26.	De-ice Control Panel
	27.	Autopilot Control Unit
	28.	Alternate Air Lever
	29.	Landing Gear Emergency Extension Lever
	30.	Oxygen Pressure Knob
	31.	Oxygen Control Knob


5. MINIMUM EQUIPMENT LIST (MEL)

EuroPilot Center does not apply operational procedures in accordance with NCO.IDE.A.105 to dispatch an aircraft with inoperative equipment through a Minimum Equipment List (MEL).

Alternatively, in accordance with Commission Regulation (EC) No. 2042/2003, M.A.403, any defect that hazards seriously the flight safety shall be rectified before further flight.

Only authorized certifying staff (maintenance engineers) may decide whether an aircraft defect hazards seriously the flight safety and therefore decide when and which rectification action shall be taken before further flight and which defect rectification can be deferred.

Any aircraft defect that would not hazard seriously the flight safety shall be rectified as soon as practicable after the date the defect was first identified and within any limits specified in the maintenance data.

Any defect not rectified before flight shall be recorded in the aircraft maintenance record system and all deferred defects shall be made known to the pilot / flight crew via the paper and electronic Trouble Report.

Deferred defects shall be transferred by maintenance onto worksheets at the next appropriate maintenance check.

Any deferred defect which is not rectified during the maintenance check shall be re-entered onto a new deferred defect record sheet.

The original date of the defect shall be retained.

The necessary components or parts needed for rectification shall be made available or ordered on a priority basis and fitted at the earliest opportunity.

Note:
As EuroPilot Center has no MEL procedure in place, the decision to defer an aircraft defect cannot be taken by the Pilot-in-Command but must be taken by an authorized maintenance engineer.
The decision to dispatch the aircraft after an item has been deferred lies with the Pilot-in-Command.



6. INSTRUMENTS, DATA AND EQUIPMENT",OM_REV_6.0_CANONICAL_PART_2.txt,5ca997bc17ebd85c23f4dd4b5114adb424c5c493ccb86c6863cb86f02891187d
OM6_P3_1.25,OM6_P3_1_25,6.0,3,1.25,must not exceed the Take Off Run Available (TORA) or;,"1.25 must not exceed the Take Off Run Available (TORA) or;
When a stopway and/or clearway is available, the calculated Take Off distance must:
not exceed Take Off Run Available (TORA)
when multiplied by 1,3 not exceed Accelerate Stop Distance Available (ASDA)
when multiplied by 1.15, not exceed Take Off Distance Available (TODA)
Note: It is EuroPilot Center policy not to take off with tailwind.
The Take Off distance for the DA42 can be determined via the tables in the POH. Conservative distances can be established by reading the chart at the next higher value of weight, altitude and temperature. The above mentioned safety margins need to be added.
We refer to the DA42 POH, Section 5 - Performance.

In addition to the field length requirements, a Multi Engine Airplane should also consider the obstacle clearance requirements:

The pilot in command must ensure that take-off flight path should clear all obstacles by a vertical margin of at least 50 ft, or by a horizontal distance of at least 90 m plus 0,125 x D, where D is the horizontal distance travelled by the Airplane from the end of the take-off distance available or the end of the take-off distance if a turn is scheduled before the end of the take-off distance available except as provided in (b) and (c) below.
For Airplanes with a wingspan of less than 60 m such as rhe DA42, a horizontal obstacle clearance of half the Airplane wingspan (6,71 meter) plus 60 m, plus 0,125 x D may be used.
When showing compliance with this subparagraph it must be assumed that:
The take-off flight path begins at a height of 50 ft above the surface at the end of the take-off distance required and ends at a height of 1 500 ft above the surface;
The Airplane is not banked before the Airplane has reached a height of 50 ft above the surface, and that thereafter the angle of bank does not exceed 15°;
Failure of the critical engine occurs at the point on the all engine take-off flight path where visual reference for the purpose of avoiding obstacles is expected to be lost;
The gradient of the take-off flight path from 50 ft to the assumed engine failure height is equal to the average all- engine gradient during climb and transition to the en-route configuration, multiplied by a factor of 0,77; and
The gradient of the take-off flight path from the height reached in accordance with subparagraph 4 above to the end of the take-off flight path is equal to the one engine inoperative en-route climb gradient shown in the Airplane Flight Manual.
When showing compliance with subparagraph (a) above for those cases where the intended flight path does not require track changes of more than 15°, the Pilot in command need not consider those obstacles which have a lateral distance greater than:",OM_REV_6.0_CANONICAL_PART_3.txt,fba35d31a7d08c79b07ff0bca8dc979e7e6e62aac3ef0f548e2e8b8fce250c3b
OM6_P1_4.2.1,OM6_P1_4_2_1,6.0,1,4.2.1,Monthly Flight Training Schedule,"4.2.1 Monthly Flight Training Schedule
The flight training schedule covers the planning of the students, instructors and the training fleet.

The flight training schedule is established on a monthly basis, offering both students and instructors more security and a better way to combine flying activities with a private and professional life.

The following scheduling procedure is applied:

Step 1: before the 20th of each month, all instructional staff provides their availabilities for the coming month through the online planning system.
Step 2: around the 20th of each month, an e-mail is sent out by the Chief Operations Officer to all students with the available dates for training for the upcoming month.
Step 3: each individual student feedback is processed, and temporary training slots are allocated in the online planning system. A draft schedule is produced, and completed or modified depending on the feedback from all students.
Step 4: on the 23rd a reminder is sent out to the students who haven’t replied yet.
Step 5: when the schedule is almost complete (usually around the 24th), an e-mail is sent out to each student individually, including a personal training schedule.
Step 6: upon receipt of final confirmation by the student, the training slots are saved into the online planning system. An aircraft, training device and instructor are allocated to the training slot.
Step 7: for each flight training session, a training device (FSTD) is allocated as far as practicable (color green), offering a backup in case of adverse weather conditions.

Changes to the schedule throughout the month can only be performed by the Chief Operations Officer or Operations Officer.

Note 1: In no event should any Flight or Theoretical Knowledge Instructor alter the monthly schedule as this will lead to loss of overview and efficiency.

Note 2: Students are never allowed to reserve training slots with instructor directly via the online planning system, with the exception of self-practice FSTD sessions, which the student may reserve directly (color code blue) via the online planning system. A restriction of maximum 2 hours per student is applicable in order to guarantee every student sufficient self-practice time on the FSTD’s.

Note 3: Flight training sessions on the FSTD (with instructors) always have priority over self-practice FSTD sessions.",OM_REV_6.0_CANONICAL_PART_1.txt,a5360a87dfc91bd466821be79d7324ced900ab9d2309d4870e8caa62f6283e16
OM6_P3_2.1,OM6_P3_2_1,6.0,3,2.1,General,"2.1 General

In accordance with NCO.OP.135 (a), before commencing a flight, the PIC shall ascertain by every reasonable means available that the space-based facilities (GNSS), ground and/or water facilities, including communication facilities and navigation aids available and directly required on such flight, for the safe operation of the aircraft, are adequate for the type of operation under which the flight is to be conducted.

In accordance with NCO.OP.135 (b), before commencing a flight, the PIC shall be familiar with all available meteorological information appropriate to the intended flight.

Preparation for a flight away from the vicinity of the place of departure, and for every flight under IFR, shall include at least:
• A study of available current weather reports and forecasts; and
• The planning of an alternative course of action to provide for the eventuality that the flight cannot be completed as planned, because of weather conditions.

Further, in accordance with NCO.OP.175, before commencing take-off, the PIC shall be satisfied that:
• According to the information available, the weather at the aerodrome or operating site and the condition of the runway or final approach and take-off areas (FATO’s) intended to be used would not prevent a safe take-off and departure; and
• Applicable aerodrome operating minima will be complied with.

In accordance with NCO.OP.205, before commencing an approach to land, the pilot-in-command shall be satisfied that:
• According to the information available, the weather at the aerodrome or the operating site and the condition of the runway or final approach and take-off areas (FATO’s) intended to be used would not prevent a safe approach, landing or missed approach.

As a reference, the below Preflight Preparation Checklist and paragraphs describe how to prepare a training flight.

Students are required to be at the airport at least 30 minutes before the scheduled Off Block Time to prepare the flight. During the first two training sessions, the instructor will brief the student about the Preflight Preparation. From the third training mission on, the student is required to perform this tasks individually.

Note: The student must be made aware of the fact that failure, late or inaccurate Preflight Preparation, may lead to the cancellation of the training flight.",OM_REV_6.0_CANONICAL_PART_3.txt,bf002c4da0d5d74461398fb4d054aa4bf513c7b0f48920c9252d0ef3e9c8a99e
OM6_P1_8.8.1,OM6_P1_8_8_1,6.0,1,8.8.1,Documents required on board of the aircraft,"8.8.1 Documents required on board of the aircraft

In accordance with NCO.GEN.135, the following documents, manuals and information are required on each flight and the pilot-in-command shall make available within a reasonable time of being requested to do so by the competent authority, the documentation required to be carried on board.

DOCUMENTS REQUIRED BY – NCO.GEN.135
	1.	The Aircraft Flight Manual (AFM), or equivalent document(s)
	2.	The original certificate of registration *
	3.	The original certificate of airworthiness (CofA) *
	4.	The noise certificate, if applicable *
	5.	The list of specific approvals, if applicable *
	6.	The aircraft radio licence, if applicable *
	7.	The third-party liability insurance certificate(s) *
	8.	The journey log, or equivalent, for the aircraft *
	9.	Details of the filed ATS flight plan, if applicable
	10.	Current and suitable aeronautical charts for the route of the proposed flight and all routes along which it is reasonable to expect that the flight may be diverted
	11.	Procedures and visual signals information for use by intercepting and intercepted aircraft
	12.	The MEL or CDL, if applicable
	13.	Any other documentation that may be pertinent to the flight or is required by the States concerned with the flight

Reference is made to OM Annex 38 – Safety & Emergency Signals.

Note 1:
On flights intending to take off and land at the same aerodrome or operating site, or remaining within a distance or area determined by the BCAA, the documents marked with an * may be retained at the aerodrome or operating site.

Note 2:
In case of loss or theft of any of the above documents, the training operation may continue until the flight reaches the base or a place where a replacement document can be provided.

Note 3:
The above documents, including aeronautical charts, may be available in a form other than on printed paper. An electronic storage medium is acceptable if accessibility, usability and reliability can be assured.

The Garmin G1000 system fulfills the requirement AMC1 NCO.GEN.135(a)(10) when the aeronautical navigation database is up to date. The topographical system data should be reasonably recent, having regard to the nature of the planned operation. Access to another electronic or paper chart is highly recommended but not required.",OM_REV_6.0_CANONICAL_PART_1.txt,81d7b418ed2efe6ba19420fabb3b250124f1706455b11f9307bf64242565504c
OM6_P3_1.3.3,OM6_P3_1_3_3,6.0,3,1.3.3,Take-off and landing climb requirements (Multi Engine Airplanes),"1.3.3 Take-off and landing climb requirements (Multi Engine Airplanes)
In addition to the field length requirements, a Multi Engine Airplane should also consider take off and landing climb requirements:

Take-off climb

All engines operating:
The steady gradient of climb after take-off must be at least 4% with:
• Take-off power on each engine;
• The landing gear extended except that if the landing gear can be retracted in not more than 7 seconds, it may be assumed to be retracted;
• The wing flaps in the take-off position(s); and
• A climb speed not less than the greater of 1,1 VMC and 1,2 VS1.

One engine inoperative:
The steady gradient of climb at an altitude of 400 ft above the take-off surface must be measurably positive with:
• The critical engine inoperative and its propeller in the minimum drag position;
• The remaining engine at take-off power;
• The landing gear retracted;
• The wing flaps in the take-off position(s); and
• A climb speed equal to that achieved at 50 ft.

The steady gradient of climb must be not less than 0,75 % at an altitude of 1 500 ft above the take-off surface with:
• The critical engine inoperative and its propeller in the minimum drag position;
• The remaining engine at not more than maximum continuous power;
• The landing gear retracted;
• The wing flaps retracted; and
• A climb speed not less than 1,2 VS1.

We refer to the DA42 POH, Section 5 - Performance, chapter 5.3.7.

Landing climb

All engines operating:
The steady gradient of climb must be at least 2,5 % with:
• Not more than the power or thrust that is available eight seconds after initiation of movement of the power controls from the minimum flight idle position;
• The landing gear extended;
• The wing flaps in the landing position; and
• A climb speed equal to VREF.

One engine inoperative:
The steady gradient of climb must be not less than 0,75 % at an altitude of 1 500 ft above the landing surface with:
• The critical engine inoperative and its propeller in the minimum drag position;
• The remaining engine at not more than maximum continuous power;
• The landing gear retracted;
• The wing flaps retracted; and
• A climb speed not less than 1,2 VS1.

We refer to the DA42 POH, Section 5 - Performance, chapter 5.3.12.

2. FLIGHT PLANNING",OM_REV_6.0_CANONICAL_PART_3.txt,43adec7593fa4fb530c88245ca3d4ce27d3ae5f5efcc111fb0f275703186b7e3
